									
Note	Frequency (Hz)	Wavelength (cm)							
C0	16.35	2109.89		0.485	16.835	16.835		Note	
 C#0/Db0 	17.32	1991.47		0.515	17.835	17.835		C0	
D0	18.35	1879.69		0.55	18.9	18.9			
 D#0/Eb0 	19.45	1774.2		0.575	20.025	20.025		 C#0/Db0 	16.835
E0	20.6	1674.62		0.615	21.215	21.215			17.835
F0	21.83	1580.63		0.645	22.475	22.475		D0	17.835
 F#0/Gb0 	23.12	1491.91		0.69	23.81	23.81			18.9
G0	24.5	1408.18		0.73	25.23	25.23		 D#0/Eb0 	18.9
 G#0/Ab0 	25.96	1329.14		0.77	26.73	26.73			20.025
A0	27.5	1254.55		0.82	28.32	28.32		E0	20.025
 A#0/Bb0 	29.14	1184.13		0.865	30.005	30.005			21.215
B0	30.87	1117.67		0.915	31.785	31.785		F0	21.215
C1	32.7	1054.94		0.975	33.675	33.675			22.475
 C#1/Db1 	34.65	995.73		1.03	35.68	35.68		 F#0/Gb0 	22.475
D1	36.71	939.85		1.09	37.8	37.8			23.81
 D#1/Eb1 	38.89	887.1		1.155	40.045	40.045		G0	23.81
E1	41.2	837.31		1.225	42.425	42.425			25.23
F1	43.65	790.31		1.3	44.95	44.95		 G#0/Ab0 	25.23
 F#1/Gb1 	46.25	745.96		1.375	47.625	47.625			26.73
G1	49	704.09		1.455	50.455	50.455		A0	26.73
 G#1/Ab1 	51.91	664.57		1.545	53.455	53.455			28.32
A1	55	627.27		1.635	56.635	56.635		 A#0/Bb0 	28.32
 A#1/Bb1 	58.27	592.07		1.735	60.005	60.005			30.005
B1	61.74	558.84		1.835	63.575	63.575		B0	30.005
C2	65.41	527.47		1.945	67.355	67.355			31.785
 C#2/Db2 	69.3	497.87		2.06	71.36	71.36		C1	31.785
D2	73.42	469.92		2.18	75.6	75.6			33.675
 D#2/Eb2 	77.78	443.55		2.315	80.095	80.095		 C#1/Db1 	33.675
E2	82.41	418.65		2.45	84.86	84.86			35.68
F2	87.31	395.16		2.595	89.905	89.905		D1	35.68
 F#2/Gb2 	92.5	372.98		2.75	95.25	95.25			37.8
G2	98	352.04		2.915	100.915	100.915		 D#1/Eb1 	37.8
 G#2/Ab2 	103.83	332.29		3.085	106.915	106.915			40.045
A2	110	313.64		3.27	113.27	113.27		E1	40.045
 A#2/Bb2 	116.54	296.03		3.465	120.005	120.005			42.425
B2	123.47	279.42		3.67	127.14	127.14		F1	42.425
C3	130.81	263.74		3.89	134.7	134.7			44.95
 C#3/Db3 	138.59	248.93		4.12	142.71	142.71		 F#1/Gb1 	44.95
D3	146.83	234.96		4.365	151.195	151.195			47.625
 D#3/Eb3 	155.56	221.77		4.625	160.185	160.185		G1	47.625
E3	164.81	209.33		4.9	169.71	169.71			50.455
F3	174.61	197.58		5.195	179.805	179.805		 G#1/Ab1 	50.455
 F#3/Gb3 	185	186.49		5.5	190.5	190.5			53.455
G3	196	176.02		5.825	201.825	201.825		A1	53.455
 G#3/Ab3 	207.65	166.14		6.175	213.825	213.825			56.635
A3	220	156.82		6.54	226.54	226.54		 A#1/Bb1 	56.635
 A#3/Bb3 	233.08	148.02		6.93	240.01	240.01			60.005
B3	246.94	139.71		7.345	254.285	254.285		B1	60.005
C4	261.63	131.87		7.775	269.405	269.405			63.575
 C#4/Db4 	277.18	124.47		8.24	285.42	285.42		C2	63.575
D4	293.66	117.48		8.735	302.395	302.395			67.355
 D#4/Eb4 	311.13	110.89		9.25	320.38	320.38		 C#2/Db2 	67.355
E4	329.63	104.66		9.8	339.43	339.43			71.36
F4	349.23	98.79		10.38	359.61	359.61		D2	71.36
 F#4/Gb4 	369.99	93.24		11.005	380.995	380.995			75.6
G4	392	88.01		11.65	403.65	403.65		 D#2/Eb2 	75.6
 G#4/Ab4 	415.3	83.07		12.35	427.65	427.65			80.095
A4	440	78.41		13.08	453.08	453.08		E2	80.095
