Frequency (Hz)	Level (dB)
0.672913	-79.856857
1.345825	-77.150604
2.018738	-71.779778
2.691650	-66.510750
3.364563	-63.736496
4.037476	-61.983501
4.710388	-60.267170
5.383301	-61.527611
6.056213	-63.868198
6.729126	-64.283531
7.402039	-62.542297
8.074951	-62.365692
8.747864	-59.190331
9.420776	-54.139637
10.093689	-54.394329
10.766602	-58.724899
11.439514	-60.497002
12.112427	-59.510109
12.785339	-53.480453
13.458252	-49.268314
14.131165	-54.076317
14.804077	-61.286018
15.476990	-60.970291
16.149902	-61.886963
16.822815	-63.869556
17.495728	-65.196800
18.168640	-63.631874
18.841553	-53.638947
19.514465	-52.234634
20.187378	-56.272961
20.860291	-53.845028
21.533203	-53.250233
22.206116	-57.874081
22.879028	-62.405640
23.551941	-62.940384
24.224854	-62.246193
24.897766	-62.030647
25.570679	-60.894169
26.243591	-60.305737
26.916504	-57.453358
27.589417	-51.452488
28.262329	-47.284809
28.935242	-38.032429
29.608154	-33.355858
30.281067	-37.999310
30.953979	-49.932381
31.626892	-55.581131
32.299805	-54.834419
32.972717	-56.362324
33.645630	-60.616058
34.318542	-61.469940
34.991455	-61.321911
35.664368	-61.760986
36.337280	-61.699570
37.010193	-60.409378
37.683105	-62.192513
38.356018	-62.221085
39.028931	-60.785740
39.701843	-63.505733
40.374756	-60.178501
41.047668	-58.718323
41.720581	-62.201950
42.393494	-62.628941
43.066406	-62.677280
43.739319	-62.447735
44.412231	-63.659435
45.085144	-62.889957
45.758057	-62.572647
46.430969	-62.100433
47.103882	-61.732090
47.776794	-62.963593
48.449707	-63.403797
49.122620	-63.779171
49.795532	-65.260757
50.468445	-66.199883
51.141357	-65.856758
51.814270	-65.007690
52.487183	-64.698883
53.160095	-64.955971
53.833008	-65.561134
54.505920	-64.828476
55.178833	-64.357613
55.851746	-66.210907
56.524658	-66.912399
57.197571	-66.143021
57.870483	-66.412109
58.543396	-64.947731
59.216309	-62.559269
59.889221	-65.070198
60.562134	-66.243179
61.235046	-66.777260
61.907959	-67.286919
62.580872	-66.539948
63.253784	-66.759003
63.926697	-66.847069
64.599609	-67.048241
65.272522	-66.636414
65.945435	-67.641045
66.618347	-69.433838
67.291260	-70.161926
67.964172	-70.341370
68.637085	-68.476715
69.309998	-67.472992
69.982910	-67.686424
70.655823	-65.867386
71.328735	-66.259415
72.001648	-66.477638
72.674561	-66.129425
73.347473	-65.813568
74.020386	-66.707947
74.693298	-66.758095
75.366211	-64.879387
76.039124	-63.761726
76.712036	-64.093674
77.384949	-63.964352
78.057861	-60.613899
78.730774	-63.735134
79.403687	-67.724121
80.076599	-66.717384
80.749512	-66.064522
81.422424	-65.387238
82.095337	-65.131538
82.768250	-65.292793
83.441162	-67.706940
84.114075	-68.892433
84.786987	-68.210075
85.459900	-69.406967
86.132812	-70.918411
86.805725	-71.271446
87.478638	-70.732979
88.151550	-69.045029
88.824463	-67.430000
89.497375	-67.534065
90.170288	-68.437500
90.843201	-69.110252
91.516113	-67.006744
92.189026	-65.989395
92.861938	-65.758698
93.534851	-68.201874
94.207764	-69.298683
94.880676	-68.066444
95.553589	-66.404114
96.226501	-65.424507
96.899414	-66.222649
97.572327	-64.075729
98.245239	-66.042587
98.918152	-67.606682
99.591064	-66.440659
100.263977	-67.136292
100.936890	-67.728363
101.609802	-69.331779
102.282715	-71.292343
102.955627	-69.144981
103.628540	-67.639244
104.301453	-67.096336
104.974365	-67.778152
105.647278	-68.681007
106.320190	-68.019844
106.993103	-68.356148
107.666016	-68.900414
108.338928	-67.638123
109.011841	-67.632957
109.684753	-67.484604
110.357666	-68.057953
111.030579	-68.083984
111.703491	-68.352692
112.376404	-67.936218
113.049316	-67.544739
113.722229	-69.214081
114.395142	-70.529236
115.068054	-72.353546
115.740967	-70.948578
116.413879	-69.189819
117.086792	-67.314560
117.759705	-66.983337
118.432617	-68.608597
119.105530	-67.363922
119.778442	-62.254303
120.451355	-62.523243
121.124268	-61.796230
121.797180	-60.980652
122.470093	-65.849960
123.143005	-70.167778
123.815918	-71.658966
124.488831	-70.584366
125.161743	-70.968216
125.834656	-71.367775
126.507568	-71.406502
127.180481	-72.645409
127.853394	-72.263756
128.526306	-73.115379
129.199219	-69.565742
129.872131	-63.961407
130.545044	-62.874409
131.217957	-66.630684
131.890869	-70.047615
132.563782	-69.721329
133.236694	-70.075592
133.909607	-68.824036
134.582520	-67.679604
135.255432	-68.504150
135.928345	-69.466606
136.601257	-69.674171
137.274170	-69.108231
137.947083	-69.113968
138.619995	-71.861130
139.292908	-72.833580
139.965820	-72.173218
140.638733	-73.028511
141.311646	-74.032776
141.984558	-73.183113
142.657471	-71.728638
143.330383	-69.960747
144.003296	-68.125526
144.676208	-65.452072
145.349121	-59.596821
146.022034	-54.095543
146.694946	-53.924286
147.367859	-58.607140
148.040771	-63.742180
148.713684	-65.839844
149.386597	-66.344360
150.059509	-66.876213
150.732422	-67.506943
151.405334	-67.249855
152.078247	-67.220230
152.751160	-67.062828
153.424072	-66.486725
154.096985	-66.602463
154.769897	-67.042267
155.442810	-67.347656
156.115723	-66.792114
156.788635	-65.538261
157.461548	-64.854256
158.134460	-63.990356
158.807373	-63.657448
159.480286	-63.152813
160.153198	-61.667641
160.826111	-60.256161
161.499023	-59.128559
162.171936	-58.023338
162.844849	-54.471233
163.517761	-44.727203
164.190674	-39.110699
164.863586	-41.077374
165.536499	-49.054184
166.209412	-52.309772
166.882324	-52.360931
167.555237	-52.856327
168.228149	-52.818211
168.901062	-52.390125
169.573975	-52.029354
170.246887	-51.662769
170.919800	-51.476727
171.592712	-50.762383
172.265625	-49.374130
172.938538	-47.265247
173.611450	-42.076950
174.284363	-39.929184
174.957275	-44.879223
175.630188	-54.439507
176.303101	-61.506046
176.976013	-63.714935
177.648926	-64.053024
178.321838	-64.303268
178.994751	-64.739830
179.667664	-64.788948
180.340576	-64.147438
181.013489	-63.434849
181.686401	-63.492840
182.359314	-63.127716
183.032227	-62.308239
183.705139	-61.889881
184.378052	-62.228893
185.050964	-61.890842
185.723877	-61.041519
186.396790	-60.400917
187.069702	-59.506500
187.742615	-57.927010
188.415527	-56.645596
189.088440	-55.370487
189.761353	-53.939968
190.434265	-53.043293
191.107178	-53.169605
191.780090	-53.491505
192.453003	-52.893665
193.125916	-51.160439
193.798828	-46.694538
194.471741	-41.868679
195.144653	-37.911228
195.817566	-35.712635
196.490479	-35.923332
197.163391	-38.636845
197.836304	-43.425198
198.509216	-48.012859
199.182129	-49.527962
199.855042	-50.073776
200.527954	-50.570076
201.200867	-50.953236
201.873779	-52.057835
202.546692	-53.545094
203.219604	-54.477551
203.892517	-55.461342
204.565430	-57.040428
205.238342	-57.434753
205.911255	-56.936020
206.584167	-56.963402
207.257080	-57.738277
207.929993	-57.485348
208.602905	-56.553146
209.275818	-55.736885
209.948730	-55.513714
210.621643	-54.798637
211.294556	-54.164551
211.967468	-53.899014
212.640381	-54.076382
213.313293	-54.389603
213.986206	-54.517242
214.659119	-54.626324
215.332031	-55.167099
216.004944	-56.321754
216.677856	-57.119614
217.350769	-56.204651
218.023682	-53.433319
218.696594	-49.947849
219.369507	-46.301861
220.042419	-43.335278
220.715332	-44.064053
221.388245	-47.983597
222.061157	-51.864956
222.734070	-53.587425
223.406982	-52.932892
224.079895	-52.228699
224.752808	-51.910427
225.425720	-51.757004
226.098633	-51.742008
226.771545	-51.668671
227.444458	-51.729824
228.117371	-51.853065
228.790283	-51.787697
229.463196	-52.250038
230.136108	-52.681534
230.809021	-52.719681
231.481934	-52.836407
232.154846	-53.351120
232.827759	-54.047390
233.500671	-55.148991
234.173584	-56.227383
234.846497	-57.876667
235.519409	-58.301399
236.192322	-58.189194
236.865234	-58.362179
237.538147	-58.487217
238.211060	-58.800892
238.883972	-58.368614
239.556885	-58.023426
240.229797	-58.662807
240.902710	-58.800243
241.575623	-58.609802
242.248535	-56.654457
242.921448	-54.146072
243.594360	-51.608437
244.267273	-49.071594
244.940186	-45.019653
245.613098	-36.708633
246.286011	-30.607626
246.958923	-30.229856
247.631836	-35.961033
248.304749	-43.608589
248.977661	-44.779907
249.650574	-45.162540
250.323486	-45.440742
250.996399	-45.581181
251.669312	-45.232803
252.342224	-45.078354
253.015137	-45.680431
253.688049	-46.893337
254.360962	-48.207966
255.033875	-48.316753
255.706787	-47.545094
256.379700	-47.534958
257.052612	-46.789856
257.725525	-45.284126
258.398438	-43.318279
259.071350	-41.766052
259.744263	-39.677700
260.417175	-34.885605
261.090088	-28.538721
261.763000	-26.851810
262.435913	-29.361580
263.108826	-35.622334
263.781738	-41.930351
264.454651	-45.740166
265.127563	-49.623684
