Lag (seconds)	Frequency (Hz)	Level
0.000023	44100.000000	0.000000
0.000045	22050.000000	0.000000
0.000068	14700.000000	0.000000
0.000091	11025.000000	0.000000
0.000113	8820.000000	0.000000
0.000136	7350.000000	0.000000
0.000159	6300.000000	0.000000
0.000181	5512.500000	0.000000
0.000204	4900.000000	0.000000
0.000227	4410.000000	0.000000
0.000249	4009.090909	0.000000
0.000272	3675.000000	0.000000
0.000295	3392.307692	0.000000
0.000317	3150.000000	0.000000
0.000340	2940.000000	0.000000
0.000363	2756.250000	0.000000
0.000385	2594.117647	0.000000
0.000408	2450.000000	0.000000
0.000431	2321.052632	0.000000
0.000454	2205.000000	0.000000
0.000476	2100.000000	0.000000
0.000499	2004.545455	0.000000
0.000522	1917.391304	0.000000
0.000544	1837.500000	0.000000
0.000567	1764.000000	0.000000
0.000590	1696.153846	0.000000
0.000612	1633.333333	0.000000
0.000635	1575.000000	0.000000
0.000658	1520.689655	0.000000
0.000680	1470.000000	0.000000
0.000703	1422.580645	0.000000
0.000726	1378.125000	0.000000
0.000748	1336.363636	0.000000
0.000771	1297.058824	0.000000
0.000794	1260.000000	0.000000
0.000816	1225.000000	0.000000
0.000839	1191.891892	0.000000
0.000862	1160.526316	0.000000
0.000884	1130.769231	0.000000
0.000907	1102.500000	0.000000
0.000930	1075.609756	0.000000
0.000952	1050.000000	0.000000
0.000975	1025.581395	0.000000
0.000998	1002.272727	0.000000
0.001020	980.000000	0.000000
0.001043	958.695652	0.000000
0.001066	938.297872	0.000000
0.001088	918.750000	0.000000
0.001111	900.000000	0.000000
0.001134	882.000000	0.000000
0.001156	864.705882	0.000000
0.001179	848.076923	0.000000
0.001202	832.075472	0.000000
0.001224	816.666667	0.000000
0.001247	801.818182	0.000000
0.001270	787.500000	0.000000
0.001293	773.684211	0.000000
0.001315	760.344828	0.000000
0.001338	747.457627	0.000000
0.001361	735.000000	0.000000
0.001383	722.950820	0.000000
0.001406	711.290323	0.000000
0.001429	700.000000	0.000000
0.001451	689.062500	0.000000
0.001474	678.461538	0.000000
0.001497	668.181818	0.000000
0.001519	658.208955	0.000000
0.001542	648.529412	0.000000
0.001565	639.130435	0.000000
0.001587	630.000000	0.000000
0.001610	621.126761	1.091665
0.001633	612.500000	2.634499
0.001655	604.109589	3.995108
0.001678	595.945946	4.373556
0.001701	588.000000	3.887830
0.001723	580.263158	3.161881
0.001746	572.727273	2.737026
0.001769	565.384615	2.341147
0.001791	558.227848	1.518593
0.001814	551.250000	0.354675
0.001837	544.444444	0.000000
0.001859	537.804878	0.000000
0.001882	531.325301	0.000000
0.001905	525.000000	0.000000
0.001927	518.823529	0.000000
0.001950	512.790698	0.000000
0.001973	506.896552	0.000000
